pmid,gene,doi,title,abstract,year,keywords,pubmed_count
23884408,ASPA,10.1074/jbc.M113.487553,N-acetylaspartate (NAA) and N-acetylaspartylglutamate (NAAG) promote growth and inhibit differentiation of glioma stem-like cells.,"Metabolic reprogramming is a pathological feature of cancer and a driver of tumor cell transformation. N-Acetylaspartate (NAA) is one of the most abundant amino acid derivatives in the brain and serves as a source of metabolic acetate for oligodendrocyte myelination and protein/histone acetylation or a precursor for the synthesis of the neurotransmitter N-acetylaspartylglutamate (NAAG). NAA and NAAG as well as aspartoacylase (ASPA), the enzyme responsible for NAA degradation, are significantly reduced in glioma tumors, suggesting a possible role for decreased acetate metabolism in tumorigenesis. This study sought to examine the effects of NAA and NAAG on primary tumor-derived glioma stem-like cells (GSCs) from oligodendroglioma as well as proneural and mesenchymal glioblastoma, relative to oligodendrocyte progenitor cells (Oli-Neu). Although the NAA dicarboxylate transporter NaDC3 is primarily thought to be expressed by astrocytes, all cell lines expressed NaDC3 and, thus, are capable of NAA up-take. Treatment with NAA or NAAG significantly increased GSC growth and suppressed differentiation of Oli-Neu cells and proneural GSCs. Interestingly, ASPA was expressed in both the cytosol and nuclei of GSCs and exhibited greatest nuclear immunoreactivity in differentiation-resistant GSCs. Both NAA and NAAG elicited the expression of a novel immunoreactive ASPA species in select GSC nuclei, suggesting differential ASPA regulation in response to these metabolites. Therefore, this study highlights a potential role for nuclear ASPA expression in GSC malignancy and suggests that the use of NAA or NAAG is not an appropriate therapeutic approach to increase acetate bioavailability in glioma. Thus, an alternative acetate source is required.",2014,"Cancer Stem Cells; Differentiation; Metabolism; Oligodendrocytes; Proliferation; Amidohydrolases; Animals; Aspartic Acid; Cell Differentiation; Cell Line, Transformed; Cell Line, Tumor; Cell Proliferation; Dipeptides; Gene Expression Regulation, Enzymologic; Gene Expression Regulation, Neoplastic; Humans; Mice; Neoplasm Proteins; Neoplastic Stem Cells; Neuroprotective Agents; Oligodendroglioma",1
NA,PTH1R,NA,NA,NA,NA,NA,0
35117330,SLIT3,10.21037/tcr-20-3177,Analyzing the key gene expression and prognostics values for acute myeloid leukemia.,"Acute myeloid leukemia (AML) is one of the first tumor types sequenced at the whole genome level. However, numbers of the mutated genes expression levels, functions, and prognostics values still unclear. To most ordinary mutated genes were analyzed via cancer virtual cohort discovery analysis platform (CVCDAP), and further investigated the mutational conversions, variant allele frequencies (VAF), driver genes, and potential druggable mutated genes in AML. The top mutated gene mRNA expression levels and the relationship between gene expression levels and prognosis for AML patients were performed by Gene Expression Profiling Interactive Analysis (GEPIA). Moreover, we used the UALCAN dataset to confirm the association between gene expression levels and prognosis for AML patients. Enrichment functions of the top mutated genes of AML were analyzed through Metascape. Finally, the role of these defined genes in cancer pathways and potential drug targets were analyzed by gene set cancer analysis (GSCALite). The top 20 mutated genes for AML included <i>FLT3</i>, <i>HPS3</i>, <i>ABCA6</i>, <i>PCLO</i>, <i>SLIT2</i>, and other ones. Compared to normal control samples, NPM1 and GABRB3 were significantly downregulated in AML samples, but TP53, DNMT3A, HPS3, FLT3, SENP6, and RUNX1 were significantly overexpressed (all these genes P value &lt;0.01). Overexpression of FLT3 and PCLO indicated a poor prognosis, but the overexpression of SLIT3 functioned as a protector for AML via GEPIA. HSP3 indicates the favorable factor for AML, but overexpression of ABCA6 (P=0.066) may act as the adverse factor by UALCAN analysis. Enrichment function analysis shows the functions of defining genes, including negative regulation of cell differentiation, small GTPase mediated signal transduction, and immune system process. Finally, these genes participate in apoptosis, cell cycle, PI3K/AKT, and RAS/MAPK signaling pathway, and FLT3 is sensitive to 5-Fluorouracil, Methotrexate, ATRA. DNMT3A and IDH2 are resistant to Trametinib. RUNX1 and TP53 were sensitive to I-BET-762 and Tubastatin A. Present study showed overexpression of FLT3, ABCA6, and PCLO indicated the poor prognosis of AML, but overexpression of SLIT3 and HSP3 functioned as an AML protector. There are several drugs and small molecules that target the top 20 mutated genes in AML.",2022,Acute myeloid leukemia (AML); bioinformatics analysis; top mutated genes,3
31724970,SLIT3,10.1097/CEJ.0000000000000529,Next-generation sequencing identified somatic alterations that may underlie the etiology of Chinese papillary thyroid carcinoma.,"To better understand the etiology of papillary thyroid carcinoma, we did next-generation sequencing for the exomes and transcriptomes of a Chinese cohort of 28 pairs of DNA and RNA samples extracted from papillary thyroid carcinoma tumors and adjacent normal thyroid samples. The Chinese papillary thyroid carcinoma tumors harbored somatic mutations in the known driver genes, such as KRAS, TP53, BRAF, ERBB2 , and MET . In addition, we identified novel papillary thyroid carcinoma candidate genes that had not been well studied before. We also identified a gene mutation signature involving SPTA1, MAP2, SYNE1 , and SLIT3 that is significantly associated with survival of papillary thyroid carcinoma patients. Transcriptome analysis using the initial papillary thyroid carcinoma tumor samples and a new Chinese papillary thyroid carcinoma dataset identified six commonly upregulated oncogenic pathways in both datasets including eukaryotic translation initiation factor 2, phosphatidylinositol-4,5-bisphosphate 3-kinase (PI3K)/serine/threonine kinase (AKT), Ephrin Receptor, Rho Family GTPase signaling, nuclear factor, erythroid 2 like 2 (NRF2)-mediated oxidative stress response, and remodeling of epithelial adherens junctions. Overall, we identified novel candidate genes and oncogenic pathways important to the etiology of papillary thyroid carcinoma in Chinese patients and found the association of a gene signature with the survival outcome of the thyroid cancer patients. These findings may help in moving toward the more comprehensive and effective personalized treatment of papillary thyroid carcinoma in Chinese.",2023,"Humans; Thyroid Cancer, Papillary; East Asian People; Thyroid Neoplasms; Mutation; High-Throughput Nucleotide Sequencing",3
26291085,SLIT3,10.1371/journal.pone.0133836,Comprehensive DNA Methylation Analysis Reveals a Common Ten-Gene Methylation Signature in Colorectal Adenomas and Carcinomas.,"Microarray analysis of promoter hypermethylation provides insight into the role and extent of DNA methylation in the development of colorectal cancer (CRC) and may be co-monitored with the appearance of driver mutations. Colonic biopsy samples were obtained endoscopically from 10 normal, 23 adenoma (17 low-grade (LGD) and 6 high-grade dysplasia (HGD)), and 8 ulcerative colitis (UC) patients (4 active and 4 inactive). CRC samples were obtained from 24 patients (17 primary, 7 metastatic (MCRC)), 7 of them with synchronous LGD. Field effects were analyzed in tissues 1 cm (n = 5) and 10 cm (n = 5) from the margin of CRC. Tissue materials were studied for DNA methylation status using a 96 gene panel and for KRAS and BRAF mutations. Expression levels were assayed using whole genomic mRNA arrays. SFRP1 was further examined by immunohistochemistry. HT29 cells were treated with 5-aza-2' deoxycytidine to analyze the reversal possibility of DNA methylation. More than 85% of tumor samples showed hypermethylation in 10 genes (SFRP1, SST, BNC1, MAL, SLIT2, SFRP2, SLIT3, ALDH1A3, TMEFF2, WIF1), whereas the frequency of examined mutations were below 25%. These genes distinguished precancerous and cancerous lesions from inflamed and healthy tissue. The mRNA alterations that might be caused by systematic methylation could be partly reversed by demethylation treatment. Systematic changes in methylation patterns were observed early in CRC carcinogenesis, occuring in precursor lesions and CRC. Thus we conclude that DNA hypermethylation is an early and systematic event in colorectal carcinogenesis, and it could be potentially reversed by systematic demethylation therapy, but it would need more in vitro and in vivo experiments to support this theory.",2016,"Adenoma; Adolescent; Carcinoma; Cell Line, Tumor; Colitis, Ulcerative; Colorectal Neoplasms; DNA Methylation; Gene Expression Regulation, Neoplastic; HT29 Cells; Humans; Mutation; Promoter Regions, Genetic; RNA, Messenger; Transcriptome",3
34051734,MSRB3,10.1186/s12885-021-08370-x,Genetic analysis of sinonasal undifferentiated carcinoma discovers recurrent SWI/SNF alterations and a novel PGAP3-SRPK1 fusion gene.,"Sinonasal Undifferentiated Carcinoma (SNUC) is a rare and aggressive skull base tumor with poor survival and limited treatment options. To date, targeted sequencing studies have identified IDH2 and SMARCB1 as potential driver alterations, but the molecular alterations found in SMARCB1 wild type tumors are unknown. We evaluated survival outcomes in a cohort of 46 SNUC patients treated at an NCI designated cancer center and identify clinical and disease variables associated with survival on Kaplan-Meier and Cox multivariate survival analysis. We performed exome sequencing to characterize a series of SNUC tumors (n&#x2009;=&#x2009;5) and cell line (MDA8788-6) to identify high confidence mutations, copy number alterations, microsatellite instability, and fusions. Knockdown studies using siRNA were utilized for validation of a novel PGAP3-SRPK1 gene fusion. Overall survival analysis revealed no significant difference in outcomes between patients treated with surgery +/- CRT and CRT alone. Tobacco use was the only significant predictor of survival. We also confirmed previously published findings on IDH and SMARC family mutations and identified novel recurrent aberrations in the JAK/STAT and PI3K pathways. We also validated a novel PGAP3-SRPK1 gene fusion in the SNUC cell line, and show that knockdown of the fusion is negatively associated with EGFR, E2F and MYC signaling. Collectively, these data demonstrate recurrent alterations in the SWI/SNF family as well as IDH, JAK/STAT, and PI3K pathways and discover a novel fusion gene (PGAP3-SRPK1). These data aim to improve understanding of possible driver mutations and guide future therapeutic strategies for this disease.",2021,"SMARCA; SNUC; SWI/SNF; Adult; Aged; Aged, 80 and over; Carboxylic Ester Hydrolases; Carcinoma; Cell Line, Tumor; Chemoradiotherapy, Adjuvant; Disease-Free Survival; Female; Follow-Up Studies; Gene Knockdown Techniques; Humans; Kaplan-Meier Estimate; Male; Maxillary Sinus Neoplasms; Middle Aged; Neoplasm Recurrence, Local; Oncogene Proteins, Fusion; Protein Serine-Threonine Kinases; Receptors, Cell Surface; Retrospective Studies; Young Adult",2
28394329,MSRB3,10.1038/nm.4323,A stemness-related ZEB1-MSRB3 axis governs cellular pliancy and breast cancer genome stability.,"Chromosomal instability (CIN), a feature of most adult neoplasms from their early stages onward, is a driver of tumorigenesis. However, several malignancy subtypes, including some triple-negative breast cancers, display a paucity of genomic aberrations, thus suggesting that tumor development may occur in the absence of CIN. Here we show that the differentiation status of normal human mammary epithelial cells dictates cell behavior after an oncogenic event and predetermines the genetic routes toward malignancy. Whereas oncogene induction in differentiated cells induces massive DNA damage, mammary stem cells are resistant, owing to a preemptive program driven by the transcription factor ZEB1 and the methionine sulfoxide reductase MSRB3. The prevention of oncogene-induced DNA damage precludes induction of the oncosuppressive p53-dependent DNA-damage response, thereby increasing stem cells' intrinsic susceptibility to malignant transformation. In accord with this model, a subclass of breast neoplasms exhibit unique pathological features, including high ZEB1 expression, a low frequency of TP53 mutations and low CIN.",2017,"Adolescent; Adult; Aged; Aged, 80 and over; Animals; Breast Neoplasms; Carcinoma; Cell Differentiation; Cell Line, Tumor; Cell Transformation, Neoplastic; Chromatin Immunoprecipitation; DNA Damage; Epithelial Cells; Female; Flow Cytometry; Fluorescent Antibody Technique; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Genomic Instability; Humans; Immunoblotting; Mammary Glands, Human; Methionine Sulfoxide Reductases; Mice, Inbred NOD; Middle Aged; Reactive Oxygen Species; Real-Time Polymerase Chain Reaction; Sequence Analysis, DNA; Stem Cells; Tissue Array Analysis; Tumor Suppressor Protein p53; Young Adult; Zinc Finger E-box-Binding Homeobox 1",2
23326307,AFAP1L1,10.1371/journal.pone.0049709,"The transcription factor Sp3 regulates the expression of a metastasis-related marker of sarcoma, actin filament-associated protein 1-like 1 (AFAP1L1).","We previously identified actin filament-associated protein 1-like 1 (AFAP1L1) as a metastasis-predicting marker from the gene-expression profiles of 65 spindle cell sarcomas, and demonstrated the up-regulation of AFAP1L1 expression to be an independent risk factor for distant metastasis in multivariate analyses. Little is known, however, about how the expression of AFAP1L1 is regulated. Luciferase reporter assays showed tandem binding motives of a specificity protein (Sp) located at -85 to -75 relative to the transcriptional start site to be essential to the promoter activity. Overexpression of Sp1 and Sp3 proteins transactivated the proximal AFAP1L1 promoter construct, and electrophoretic mobility shift assays showed that both Sp1 and Sp3 were able to bind to this region in vitro. Chromatin immunoprecipitation experiments, however, revealed that Sp3 is the major factor binding to the proximal promoter region of the AFAP1L1 gene in AFAP1L1- positive cells. Treatment with mithramycin A, an inhibitor of proteins binding to GC-rich regions, prevented Sp3 from binding to the proximal promoter region of AFAP1L1 and decreased its expression in a dose-dependent manner. Finally, knocking down Sp3 using small inhibitory RNA duplex (siRNA) reduced AFAP1L1 expression significantly, which was partially restored by expressing siRNA-resistant Sp3. These findings indicate a novel role for Sp3 in sarcomas as a driver for expression of the metastasis-related gene AFAP1L1.",2013,"Adaptor Proteins, Signal Transducing; Binding Sites; Biomarkers, Tumor; Blotting, Western; Cell Line, Tumor; Cell Movement; Dose-Response Relationship, Drug; Gene Expression Regulation, Neoplastic; HEK293 Cells; Humans; Luciferases; Microfilament Proteins; Neoplasm Metastasis; Plicamycin; Promoter Regions, Genetic; Protein Binding; RNA Interference; Reverse Transcriptase Polymerase Chain Reaction; Sarcoma; Sp3 Transcription Factor; Transcriptional Activation",1
35895896,MRC1,10.1182/blood.2022016033,Proteomic and phosphoproteomic landscapes of acute myeloid leukemia.,"We have developed a deep-scale proteome and phosphoproteome database from 44 representative acute myeloid leukemia (AML) patients from the LAML TCGA dataset and 6 healthy bone marrow-derived controls. After confirming data quality, we orthogonally validated several previously undescribed features of AML revealed by the proteomic data. We identified examples of posttranscriptionally regulated proteins both globally (ie, in all AML samples) and also in patients with recurrent AML driver mutations. For example, samples with IDH1/2 mutations displayed elevated levels of the 2-oxoglutarate-dependent histone demethylases KDM4A/B/C, despite no changes in messenger RNA levels for these genes; we confirmed this finding in&#xa0;vitro. In samples with NPMc mutations, we identified several nuclear importins with posttranscriptionally increased protein abundance and showed that they interact with NPMc but not wild-type NPM1. We identified 2 cell surface proteins (CD180 and MRC1/CD206) expressed on AML blasts of many patients (but not healthy CD34+ stem/progenitor cells) that could represent novel targets for immunologic therapies and confirmed these targets via flow cytometry. Finally, we detected nearly 30&#x2009;000 phosphosites in these samples; globally, AML samples were associated with the abnormal phosphorylation of specific residues in PTPN11, STAT3, AKT1, and PRKCD. FLT3-TKD samples were associated with increased phosphorylation of activating tyrosines on the cytoplasmic Src-family tyrosine kinases FGR and HCK and related signaling proteins. PML-RARA-initiated AML samples displayed a unique phosphorylation signature, and TP53-mutant samples showed abundant phosphorylation of serine-183 on TP53 itself. This publicly available database will serve as a foundation for further investigations of protein dysregulation in AML pathogenesis.",2022,"Histone Demethylases; Humans; Jumonji Domain-Containing Histone Demethylases; Karyopherins; Ketoglutaric Acids; Leukemia, Myeloid, Acute; Membrane Proteins; Mutation; Nuclear Proteins; Nucleophosmin; Proteome; Proteomics; RNA, Messenger; Serine; fms-Like Tyrosine Kinase 3; src-Family Kinases",4
35288093,MRC1,10.1016/j.trecan.2022.02.006,C1q+ macrophages: passengers or drivers of cancer progression.,"The omics era made possible the quest for efficient markers for cancer progression and revealed that macrophage populations are much more complex than just the M1/M2 dichotomy. Complement C1q pops up as a marker of a tolerogenic and immunosuppressive macrophage populations in both healthy and tumor tissues, but the specific role of C1q+ tumor-associated macrophages (TAM) is poorly understood. C1q is co-expressed in healthy and tumor macrophages with human leukocyte antigen DR (HLA-DR), Apolipoprotein E (APOE), and mannose receptor C-type 1 (MRC1) (CD206), suggesting a resident origin of this population. TAM expressing C1q correlate with T cell exhaustion and poor prognosis in numerous cancers. Herein, we discuss the plural roles of C1q in these macrophages and how it could drive cancer progression.",2022,C1q; T cell exhaustion; complement system; tumor-associated macrophages; Complement C1q; Humans; Macrophages; Neoplasms,4
